Gmag,G_BPmag,G_RPmag,Gmag_abs
15.627295000000002,17.155449,14.16682,9.793024432915745
16.059437,17.796412,14.807127,10.272705022487193
18.805403,20.509993,17.240105,13.040311399375
15.8245125,17.46562,14.589657999999998,9.83039743009449
13.953021,15.20431,12.768738,8.043479125623815
18.150879,20.264397,16.766525,12.173419580417546
10.10253,10.388914,9.653467,4.297728922790403
7.6638546,7.677649499999999,7.613686599999999,1.8117356969659957
17.566229999999997,19.34429,16.176323,11.805108623461045
15.501458,17.216171,14.168047,9.549814919779545
11.589548,12.06015,10.958282,5.577053224410328
16.582764,18.418262,15.290296,10.844302113875838
11.332832000000002,11.735243,10.755957,5.38004947625519
15.079935,16.547242999999998,13.893351,9.197573121911363
16.794418,18.623932,15.485299,10.871447983953793
16.515656,18.327534,15.243156,10.696365565067083
15.497327,17.069843,14.285266,9.689754476334107
16.836628,18.7837,15.51809,10.985695236277419
19.130974,21.268938,17.655904999999997,13.202790764661302
15.783466,17.585503,14.503049,9.844797404603469
8.809602,8.965778,8.521587,2.857114121490719
15.158939000000002,16.629827,13.967118,9.252692928601775
13.8986845,14.930887,12.891508,7.940659023573813
17.635895,19.655151,16.22237,11.696590873673875
18.674212,20.285288,17.135273,12.869758804520671
14.832162,16.380537,13.625383,9.017991712160805
15.201738,16.713495,13.992185999999998,9.35832375464082
13.986514,15.089334,12.942034,8.137920196249063
15.511639,17.091611999999998,14.28821,9.688382039779256
17.12323,19.158237,15.799307999999998,11.291264231957618
9.029647,9.22074,8.690506,3.063409192634058
17.1859,19.173645,15.864671,11.427041111298552
17.233342999999998,19.402758,15.878748000000002,11.577097290480515
15.769455,17.38877,14.541079000000002,10.177907559753544
6.903564500000001,6.859822,6.952760700000001,0.9670165330599341
16.48828,18.405329,15.182009,10.821151053732574
19.584053,20.523254,17.932281,13.723715910278688
16.990254999999998,18.865826,15.696402,11.152142162261054
17.840372,19.812454,16.484776999999998,11.809907379450244
16.62397,18.495777,15.332042,10.813574105917352
16.021158,17.683968,14.782948,10.225340665026268
17.199076,19.28816,15.841506,11.330669511742988
7.337619,7.321900999999999,7.340719,1.5139379583692865
16.62024,18.429382,15.347708,10.705269144787199
16.243473,18.063345,14.960051000000002,10.41732772143022
16.064966000000002,17.822210000000002,14.798494,10.239260818678886
18.207344,20.52211,16.776016000000002,12.429907722379552
15.231054,16.761692,14.021657,9.539967673297134
14.91791,16.314316,13.753601000000002,9.06369451224224
14.550798,16.004089999999998,13.358337,8.633764704570911
17.611513000000002,19.612825,16.275755,11.682573446816102
17.322706,19.376211,15.997421,11.418260763715706
13.719176999999998,14.681194,12.738625,7.709099169740311
14.085627,15.226297,13.027016,8.190972910475635
18.069782,20.242115,16.47966,11.969109240915918
17.05366,19.020311,15.721802,11.084116792939001
11.3979025,11.854119,10.743258,5.536047353516571
16.272655,18.083096,14.98994,10.422668605802446
13.424784,14.348575,12.468414,7.51044035448561
7.463214999999999,7.470766999999999,7.421622,1.5645722330566807
14.373212,15.8705,13.173757,8.503586891319127
15.892146,17.544695,14.6556,9.935895647321516
16.91636,18.780176,15.6179695,11.055856678328352
14.883756,16.280493,13.721628,9.00856540380712
9.455384,9.686797,9.067337,3.5849145285874275
11.505783,11.949723,10.883668,5.643101692830513
9.639811,9.630991,8.9438715,3.7676190130047367
15.9664755,17.657529999999998,14.726221,10.063944070662686
16.685685999999997,18.522778,15.406449,10.779314489699685
16.209857999999997,17.849073,14.898687,10.280985608578241
14.968053,16.552649,13.741602,9.114781202161163
16.987278,18.865467,15.665194,11.157185007476519
14.841352,16.522089,13.588525,8.947210952074757
15.220478,16.744055,14.018237,9.33003292225061
16.463362,18.261904,15.181099,10.558213236453547
19.30638,21.804995,17.811207,13.408155110091764
12.380516,12.98573,11.633738,6.4044225023036105
10.359779,10.679958,9.877584,4.588605689891693
15.94005,17.562975,14.703702,9.992902217169561
16.525433,18.440355,15.218631,10.830967780579698
16.897228,18.738476,15.589082,11.066533545201438
16.835022,18.700531,15.528774,10.788400538049329
17.369812,19.479446,16.009408999999998,11.428604855445398
17.260873999999998,19.367296,15.920872,11.346161110482416
7.4148073,7.402589,7.412692999999999,1.4800292356973692
16.034392999999998,17.774042,14.760194,10.130504578856534
15.130633,16.579657,13.950943,9.279086570934542
11.1379175,11.530688,10.561509,5.361758793609283
16.723246,18.51035,15.449594,10.828893433247003
19.109388,20.899881,17.478374,13.099050449430928
17.242409,18.54828,15.697641,11.560922213061886
15.823304,17.462898000000003,14.541633,9.884529656471477
18.191887,20.343433,16.557863,12.268520480006487
15.373465,16.837122,14.14032,9.327563964998834
15.484689,17.046782999999998,14.269947,9.596501348821668
17.074182999999998,19.027145,15.745306,11.169549449789084
12.259721,12.933088,11.453342999999998,6.365186232267927
17.31222,19.611994,15.918506,11.430022878337374
8.178291999999999,8.240394,8.038008999999999,2.292051784560744
16.840773000000002,18.687195000000003,15.534256,10.91879205080891
16.467854,18.231882,15.202378,10.531417653054486
14.791617,16.081442000000003,13.614953,8.990995871923996
15.366513,16.944248,14.14614,9.432725879282978
13.410515,14.287515,12.468285,7.545243543941847
15.437626000000002,16.976469,14.2120285,9.539103966438065
16.620570999999998,18.476097,15.335885,10.731768578825541
14.745045,16.242155,13.540804,8.84178878696301
17.885641,20.009394,16.527788,12.040684706249985
8.964432,9.158567,8.623187,3.0995085596806202
16.089634,17.805084,14.839854,10.343997870339617
19.499195,21.191486,17.928804,13.725684210464667
14.796264,16.092422,13.668156,8.889029778623291
16.403444,18.223732,15.121213,10.607841714364874
